date,season,city,tmin,tmax,tavg,precipitation,wind_speed,humidity,pressure
1/1/2000,Winter,Gilgit,-7.9,4,-2.8,0,2.6,56,1027.4
1/2/2000,Winter,Gilgit,-7.8,4.7,-2.4,0,2.6,56,1026.2
1/3/2000,Winter,Gilgit,-7.9,4.7,-2.4,0,2.6,56,1025
1/4/2000,Winter,Gilgit,-8.5,4.5,-2.8,0,2.6,55,1023.4
1/5/2000,Winter,Gilgit,-8.8,3.5,-3.4,0,2.9,58,1025.7
1/6/2000,Winter,Gilgit,-7.3,4.7,-2,0,2.6,56,1024.8
1/7/2000,Winter,Gilgit,-5.6,4.9,-0.7,0,2.6,63,1022.4
1/8/2000,Winter,Gilgit,-0.6,5.2,1.9,8.3,1.8,79,1019.9
1/9/2000,Winter,Gilgit,0.5,5.1,2.4,8.7,2.2,80,1014.1
1/10/2000,Winter,Gilgit,-4.6,1.1,-1.9,0.8,1.9,80,1023.6
1/11/2000,Winter,Gilgit,-4.4,1.4,-1.1,8,1.8,78,1022.1
1/12/2000,Winter,Gilgit,-0.1,1.9,0.9,17.1,1.5,85,1013.5
1/13/2000,Winter,Gilgit,-1.8,1.7,0.3,3,1.8,76,1012.1
1/14/2000,Winter,Gilgit,-5.7,-0.3,-2.5,2.3,2.1,75,1015.3
1/15/2000,Winter,Gilgit,-5.6,-2,-3.9,0.9,1.8,66,1022.9
1/16/2000,Winter,Gilgit,-10.3,-6.3,-7.7,0,2.1,60,1033.4
1/17/2000,Winter,Gilgit,-14.2,-7.9,-10.8,0,2.6,53,1039.2
1/18/2000,Winter,Gilgit,-8.4,-2.6,-5,10,2.1,69,1031.7
1/19/2000,Winter,Gilgit,-3,1.7,-0.9,9.3,2.1,75,1021.5
1/20/2000,Winter,Gilgit,-10.2,-3.9,-6.7,0,2.5,64,1028.6
1/21/2000,Winter,Gilgit,-11.8,-7.4,-9.8,0,2.6,52,1025.6
1/22/2000,Winter,Gilgit,-9.7,-5,-7.7,0,2.6,54,1028.4
1/23/2000,Winter,Gilgit,-11.2,-6.5,-9.4,0,2.6,60,1032.5
1/24/2000,Winter,Gilgit,-11.7,-6.9,-9.4,0.8,2.8,58,1034.7
1/25/2000,Winter,Gilgit,-7.3,-2.6,-5.1,4.7,2.1,71,1029.4
1/26/2000,Winter,Gilgit,-5.8,-0.8,-4,0.2,2.3,70,1026.4
1/27/2000,Winter,Gilgit,-10.3,-4.2,-7.3,0,2.6,64,1036.1
1/28/2000,Winter,Gilgit,-15.7,-7.2,-11.3,0,3.1,64,1039.8
1/29/2000,Winter,Gilgit,-13.7,-5.6,-10.1,0,2.9,46,1035
1/30/2000,Winter,Gilgit,-10.7,-1.5,-6,0.1,2.6,40,1027.1
1/31/2000,Winter,Gilgit,-3.5,0.6,-1.7,10.2,1.6,76,1020.1
2/1/2000,Winter,Gilgit,-1.6,0.6,-0.6,10.8,1.8,80,1013.6
2/2/2000,Winter,Gilgit,-3.9,1.2,-0.8,5.6,1.6,68,1020
2/3/2000,Winter,Gilgit,-4.4,-0.2,-2.5,4.4,1.9,78,1027.3
2/4/2000,Winter,Gilgit,-5.3,-0.2,-2.7,1.1,2.5,72,1025.2
2/5/2000,Winter,Gilgit,-8.2,-3.7,-6,0,3.1,48,1023.4
2/6/2000,Winter,Gilgit,-11.1,-6.5,-9,0,2.6,42,1026.5
2/7/2000,Winter,Gilgit,-13.1,-7.3,-10.7,0,2.6,39,1026.8
2/8/2000,Winter,Gilgit,-13.9,-4.9,-9.9,0,2.6,49,1026.5
2/9/2000,Winter,Gilgit,-11.1,-4.8,-7.6,4.5,2.3,64,1026.8
2/10/2000,Winter,Gilgit,-8.1,-0.2,-4.5,1.1,2.3,68,1017.3
2/11/2000,Winter,Gilgit,-11.5,-1.3,-6.1,0,2.6,64,1019.4
2/12/2000,Winter,Gilgit,-9.9,-2.5,-6.4,0,2.3,57,1025.3
